Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
Tides,"Director, Corporate Social Impact",tides.org,CA,300k,Non-Profit,"Managed services, donor advised funds, grant making, co-working space",250-500 employees,$1B-$5B,2,10,1,0,0,0,Hybrid,"we are looking to consolidate several platforms into something simpler to manage and more complete. we are also looking into sase and similar approaches.
 
 data security and dlp are also high-priority","we are consolidating onto sharepoint and looking to leverage more microsoft tools for file storage, employee experience, analytics, etc.",we intend on having a hybrid workforce for the foreseeable future. we currently perform many of our processes manually and are looking to automate as much as possible.,we intend to implement a new analytics function in 2022.,we are looking to build on salesforce to provide additional functionality to internal and external users.,hybrid conferencing solutions for remote and non-remote users.,we are refreshing our network and wifi infrastructure with meraki,"we are reevaluating our current group of outside contractors in areas such as, helpdesk, salesforce support/development, and security",working to define a structure for managing an it team in a hybrid structure.,Fall 21,4,0,1,1,2,0
Tokyo Marine HCC,"Chief Financial Officer & Group Executive VP, Stop Loss Management",tmhcc.com/,TX,12M,Banking / Finance,"Insurance: Public Risk, Aviation, Casualty, Specialty, Cyber",1000-5000 employees,$1B-$5B,1,300,30,8,Windows,Oracle PSFT,AWS,no,no,initiating exploring machine learning to replace decision making through rules engine,no,"devops automation ci/cd
 
 api management
 
 service orchestration
 
 strategic management dashboards (kpis)",no,no,no,no,Fall 21,0,2,0,1,7,1
Tosca Services,General Manager,toscaltd.com,GA,1 Mn,Other,Reusable Plastic Containers,500-1000 employees,$500M-$1B,3,50,5,10,Windows 10,Microsoft,Azure,no,migration and optimization,ml and predictive analytics,datawarehouse and data visualization,several of the above,no,no,several from the above,employee burnout prevention,Fall 21,0,0,0,0,0,0
Town of Cary,"Deputy Manager, Chief Operating Officer",townofcary.og,NC,10M,Government (state/local/federal),"Utilities
 
 Parks and Recreation
 
 Public Safety
 
 Permitting",1000-5000 employees,$50M-$100M,2,45,3,20(if we include our 311 center),0,currently being decided,Azure,no,"we have are leveraging more and more iot solutions and building out a ""connected"" park. we are always looking for good solutions.
 
 we are looking to implement service now
 
 mobility is always a need for us.",this is a big area of need for us. we need to learn more on all the areas i checked above and get a strategy in place. i would like to introduce my team to rpa and get them some training in the fall. i would like to figure out some pilot projects around ai &ml. we are always looking for new ways to better our citizen experience. g,we need a to have a good data governance and mdm strategy. we have made some strides but it's time to really buckle down and and put one in place.,we are very focused on iot. we have done a lot of testing and are looking to roll out a lora network across the town,we are in the process of outsourcing our unified communications,resources/talent is our biggest challenge,we will be implementing service now or a similar solution in the fall. we are also moving from project management to product management. we continually use contractors to supplement our staff.,i am a big believer in continual learning and very rarely turn down training opportunities for my team. we are also looking a public speaking training as well.,Fall 21,2,2,3,5,6,0
Towne Mortgage Company,Vice President - Technology,townemortgage.com,MI,500000,Banking / Finance,Many types of mortgage and home-equity loans.,500-1000 employees,$250M-$500M,4,0,0,30,0,0,Azure,lower cost - more monitoring.,move more there.,contact center,no,no,contact center,wan expansion,no,more soft-skills training,Fall 21,1,2,0,1,1,1
Trancasa,Director Ejecutivo,trancasa.online,TX,300K USD,Transportation,"Trancasa is part of a group of industries that are focus on moving products to wherever is needed. Thru our sister company TCA Logistics, we can bring products to the US from Asia and Europe. Once the product is on US or Mexico land we can then transport the product over the road to any destination.",500-1000 employees,$50M-$100M,"11 Business Locations, we have IT Site in all locations. On this locations we have routers, switches.",10,2,0,"Multiples Windows 10, Windows Server 2012 R2","Trimble TMW Suite, Dynamics Great Plains",0,"currently don't have a strong tool to prevent phishing. need something which can allow me to make campaigns and allow users to report phishing attacks
 
 
 
 on the networking side looking at improving web filtering and network utilization monitoring.","we have a big fleet of tractors and trailers on the road. looking in the market of what can i do with iot.
 
 
 
 we are looking into potentially move from hyper v to another virtualization technology
 
 
 
 in the process of making an evaluation to move from tableau to another bi software platform
 
 
 
 currently, use jira helpdesk but looking to implement itil and take it to the next level","looking to automate ar and ap process with the assistance of workflow
 
 
 
 looking for an alternative to adobe sign","everything nowadays is about the data and how is used to make a smart decision. currently working with tableau but out in the market to find other solutions.
 
 
 
 any system can create bi dashboard but the data behind has to be clean and currently our system is not clean nor do we have at the moment data governance in place",at the moment we are trying to stabilize our transportation management software platform (tmw suite).,due to workload in other areas not on the market in the short term but open to hear what out there.,"our facilities have old it equipment, we are looking to bring network security to current technology.",always in the look of hearing from experts on how they and/or other businesses are doing things differently.,looking to bring the it team to the next level,Fall 21,4,0,2,3,6,4
TreviPay,CISO,trevipay.com,KS,~200k for security and over ~1million in IT spend that includes some security,Banking / Finance,B2B payment solutions and invoice integration,500-1000 employees,$100M-$250M,5,100,5,0,0,0,AWS,"enterprise grc - risk management, compliance management
 
 soc - mssp or in house solution, currently operate on top of sumo so looking for partners that might be able to assist with this platform
 
 container and cloud security - management container images, dependency, configs, deployments within our ci/cd and devops infrastructure
 
 iam - leveraging o365 casb, pam, security and compliance tools, evaluating gaps and determining long term plan forward for migrating to a zero trust and passwordless authentication posture
 
 incident detection and investigation - partners for retainers for ir, for continued maturity and development of playbooks, response plans and table top exercises",no,no,no,no,no,no,no,no,Fall 21,6,0,0,4,5,0
Tribune Publishing,IT Security Manager,tribpub.com/#,IL,"500,000- 1,000,000",Media / Marketing / Advertising,News and content,1000-5000 employees,$250M-$500M,15,90,8,?,Windows,oracle,AWS,trying to cut cost and review security automation and response products. review a new computer training program for end users. moving more items into aws so i need to see what is available in the market,no,no,no,no,no,no,no,what to review new products for security training,Fall 21,4,0,1,3,4,0
Trilogy Inc,Business Strategy Payer Relations General Counsel & Vice President,trilogyinc.org,IL,########,Non-Profit,Mental health services for the under served community in Chicago IL.,250-500 employees,$50M-$100M,10,8,1,0,Windows,0,Azure,"phishing attacks, ransomware, and mfa so it's not a nuisance.","bi, help desk and mobility",ai and workflow automation to help reduce time employee's are using doing repetitive tasks.,"bi, and data warehousing is on our radar",not much in this area that we plan for the next 12 months,not much for the next 12 months,not much for the next 12 months,nothing planned,not much planned,Fall 21,3,0,1,1,1,0
True Food Kitchen,General Manager,truefoodkitchen.com,AZ,~4MM,Travel / Hospitality / Recreation / Entertainment,Delicious food that is good for you!,250-500 employees,$100M-$250M,44,7,2,0,Mostly windows stack,Dynamics GP,Hybrid,no,shift from onprem ad to azure same goes for on prem great plains to cloud based erp,looking at optimizing mobile application and understanding our guest experience better.,spin up reporting/dashboarding/etc leveraging internal db vs. outsourced data collection agent,no in house development functions at this time.,no interest in changing current communication systems at this time.,make a change for guest wifi. imlement twilio to capture cell phone data.,layers in with bi/data visualization project.,we have a training solution in place today. hard part is for team members to have the time to take advantage of current solutions and therefore offering isn't leveraged to capacity or having the desired effect.,Fall 21,1,1,1,4,4,1
True World Group,CIO,trueworldfoods.com,NJ,$5M,Manufacturing / Natural Resources,"Distribution of fresh seafood to over 6,000 restaurants.",1000-5000 employees,$1B-$5B,40+,45,2,8,MS,Sage,AWS,"phishing email to accounting (a/p, a/r, clearks).",this survey is way too long for cio.,this survey is way too long for cio.,this survey is way too long for cio.,this survey is way too long for cio.,this survey is way too long for cio.,this survey is way too long for cio.,this survey is way too long for cio.,this survey is way too long for cio.,Fall 21,1,0,0,1,9,0
Truth Initiative,Executive Vice President & Financial Chief & Investment Officer,truthinitiative.org,DC,500000,Non-Profit,"We inspire lives free from smoking, vaping, and nicotine.",100-250 employees,$100M-$250M,1,5,2,0,WIN/MAC OS,Microsoft,Hybrid,with us moving to more cloud services is to ensure we maintain the best security posture for our employees - whether they are in or out of the office. maintaining end-point-protection and the ability to track anomalies of data movement on issued devices in and out of the office are important.,would like to better manage our mobile devices and apple/mac users.,not this year.,not this year.,no,just upgraded to zoom phones in june 2021.,none this year.,vulnerability and pen testing in the fall.,"our it/cybersecurity group is comprised of five staff members - cio/cybersecurity officer (cissp), vp of it (cissp), sr. network administrator (cisco security & mscp), jr. network admin, and computer support coordinator. we currently don't have any challenges this year. for 2022, we are looking to make some infrastructure upgrades to our enterprise services.",Fall 21,4,2,0,4,4,2
